GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
862700P;Grüningen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1620;1316;1334;1563;1175;1368;1543;1539;1425;1288;1246;1379;1236;1182;987;970;985;1030;993;1011;984;796;889;889;848;833;849;630;613;560
852300PP;Hagenbuch, Politische Gemeinde;Steuerertrag [Fr./Einw.];1928;1810;1701;1646;1626;1336;1591;1575;1669;1460;1294;1510;1441;1256;1370;1254;1277;;;;;;;;;;;;;
891500PP;Hausen a.A., Politische Gemeinde;Steuerertrag [Fr./Einw.];2687;2864;2527;2483;2424;2204;2131;2362;2294;;;;;;;;;;;;;;;;;;;;;
890800PS;Hedingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];3413;3130;3372;3231;2802;2547;3001;3442;3170;3710;;;;;;;;;;;;;;;;;;;;
844400PP;Henggart, Politische Gemeinde;Steuerertrag [Fr./Einw.];2176;1934;1895;2043;1880;1879;1884;1942;2057;2038;1941;2120;1783;;;;;;;;;;;;;;;;;
870400PS;Herrliberg, Politische Gemeinde;Steuerertrag [Fr./Einw.];8366;8201;8306;7795;7309;7353;6819;7404;7482;7689;8749;8045;8084;;;;;;;;;;;;;;;;;
844200PP;Hettlingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];2745;2685;2907;2591;2532;2368;;;;;;;;;;;;;;;;;;;;;;;;
834000P;Hinwil, Politische Gemeinde;Steuerertrag [Fr./Einw.];1362;1233;1326;1378;1398;1326;1148;1227;1220;1138;1174;1190;1121;923;873;882;950;876;996;955;955;728;797;758;827;883;870;693;672;534
833500P;Hittnau, Politische Gemeinde;Steuerertrag [Fr./Einw.];1167;1141;1018;945;890;973;1013;1062;1219;1033;1127;877;887;835;855;814;764;845;840;810;741;657;611;593;655;598;525;555;527;500
818200P;Hochfelden, Politische Gemeinde;Steuerertrag [Fr./Einw.];1066;1095;1123;1132;975;987;1003;957;1123;1186;997;1047;924;804;869;901;913;994;960;898;791;678;711;661;642;638;617;702;532;462
863400PS;Hombrechtikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];3133;3035;2335;3374;3568;3571;3625;3460;4148;3666;;;;;;;;;;;;;;;;;;;;
881001PS;Horgen, Politische Gemeinde;Steuerertrag [Fr./Einw.];5349;4772;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818100P;Höri, Politische Gemeinde;Steuerertrag [Fr./Einw.];998;973;992;898;926;922;947;813;872;844;836;742;715;713;806;796;825;818;748;714;742;594;683;735;766;659;572;542;482;493
845700P;Humlikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];1404;1193;1368;1249;1237;1160;1252;1316;1171;1158;1136;1068;925;835;1032;997;791;835;976;866;911;691;923;1022;1225;1148;1054;1004;836;751
819400P;Hüntwangen, Politische Gemeinde;Steuerertrag [Fr./Einw.];903;1041;1119;927;815;844;879;974;1050;1135;964;732;741;725;925;999;998;865;1250;869;827;396;904;953;1107;611;630;650;512;723
811500P;Hüttikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];1187;1107;1024;1083;1005;1264;1144;1588;1468;1360;1510;1415;1212;1259;1034;1176;1114;1296;1003;1107;937;775;805;748;782;571;605;571;580;631
830801PS;Illnau-Effretikon, Stadt;Steuerertrag [Fr./Einw.];2717;2689;2811;2854;;;;;;;;;;;;;;;;;;;;;;;;;;
892600PP;Kappel a.A., Politische Gemeinde;Steuerertrag [Fr./Einw.];2003;2486;2563;1912;2387;2913;2374;2620;;;;;;;;;;;;;;;;;;;;;;
880200PS;Kilchberg, Politische Gemeinde;Steuerertrag [Fr./Einw.];8896;8194;8630;8221;6410;7818;9506;10256;8049;7168;6634;7340;6544;6362;5964;5480;5227;6084;6301;5680;5348;4830;4462;4938;4870;4809;4963;4419;4086;4239
845100P;Kleinandelfingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1380;1203;1247;1217;1144;1055;1139;1170;1161;1101;1040;1057;868;688;741;703;736;933;936;797;800;662;721;700;734;792;622;663;694;690
830200PS;Kloten, Stadt;Steuerertrag [Fr./Einw.];6392;6838;6650;4928;6771;5538;4076;4661;5279;4982;4079;3713;3699;3462;3016;3134;2663;3390;4087;4051;3959;3708;2815;2802;2892;2677;2624;2548;2258;2282
893400PP;Knonau, Politische Gemeinde;Steuerertrag [Fr./Einw.];2159;1874;2038;1982;1931;1980;;;;;;;;;;;;;;;;;;;;;;;;
870000PS;Küsnacht, Politische Gemeinde;Steuerertrag [Fr./Einw.];10845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
813500PS;Langnau a.A., Politische Gemeinde;Steuerertrag [Fr./Einw.];3565;3490;3445;3168;3270;3048;3397;3138;3353;3739;3424;3116;3247;2781;2712;2857;2800;3202;3187;2835;2575;2122;2237;2328;2352;2353;2618;2291;2192;2145
824800P;Laufen-Uhwiesen, Politische Gemeinde;Steuerertrag [Fr./Einw.];2423;1738;1663;1863;1909;1819;1745;1566;1575;1727;1527;1537;1453;1191;1173;1131;1091;1300;1150;960;1018;934;1002;876;1046;983;836;687;671;663
831500PS;Lindau, Politische Gemeinde;Steuerertrag [Fr./Einw.];3462;3296;3404;3384;3312;3138;3074;3422;3098;3067;3215;3168;2874;2325;;;;;;;;;;;;;;;;
842600PP;Lufingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];2349;2281;2270;1841;1944;1930;1976;1706;1834;1808;1813;2025;1753;1617;1908;1502;1722;1950;1906;2397;2017;1825;1834;2131;2376;2209;2272;1814;1702;783
870800PS;Männedorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];4020;4425;4572;4424;3875;3878;3846;3504;3452;3397;3637;3654;3723;;;;;;;;;;;;;;;;;
846000P;Marthalen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1292;1236;1266;1092;1094;1064;1054;1046;1222;1039;1051;1045;1078;985;946;887;940;1013;952;920;860;710;669;739;753;620;596;502;464;570
893300P;Maschwanden, Politische Gemeinde;Steuerertrag [Fr./Einw.];948;952;967;944;958;1013;946;901;916;1001;671;824;747;503;426;466;521;510;532;447;553;411;419;433;431;413;389;408;383;348
812400PS;Maur, Politische Gemeinde;Steuerertrag [Fr./Einw.];4377;4081;4202;3946;3945;4260;4424;4125;4391;4054;;;;;;;;;;;;;;;;;;;;
870600PS;Meilen, Politische Gemeinde;Steuerertrag [Fr./Einw.];6414;6042;6543;5360;5455;5382;5288;5161;5310;5060;;;;;;;;;;;;;;;;;;;;
893200PP;Mettmenstetten, Politische Gemeinde;Steuerertrag [Fr./Einw.];2394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
861700PS;Mönchaltorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];2741;2559;2796;2833;2530;2524;2881;3036;3358;2709;2681;2619;2553;2590;2650;2591;2504;2887;;;;;;;;;;;;
817300P;Neerach, Politische Gemeinde;Steuerertrag [Fr./Einw.];1254;1405;1185;1398;1177;1202;1206;1283;1216;1067;1117;1150;987;929;873;683;581;859;708;588;591;414;464;350;469;453;443;372;277;350
841300PS;Neftenbach, Politische Gemeinde;Steuerertrag [Fr./Einw.];3480;3323;3455;3110;2957;2715;2641;2732;2540;2744;2512;2746;2846;2394;2425;2563;2290;;;;;;;;;;;;;
817200P;Niederglatt, Politische Gemeinde;Steuerertrag [Fr./Einw.];926;877;869;874;829;764;814;815;861;754;668;657;672;595;604;526;459;459;544;695;852;660;717;735;677;635;578;478;475;445
815500PP;Niederhasli, Politische Gemeinde;Steuerertrag [Fr./Einw.];2113;2016;1807;1851;1734;1815;1738;1795;1917;1996;2076;1877;1790;;;;;;;;;;;;;;;;;
816600P;Niederweningen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1271;1334;1154;1158;1254;1606;1322;1099;1401;1652;;;;;;;;;;;893;640;697;814;885;809;786;689;689;664
830900PS;Nürensdorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];3493;3396;3274;3344;3275;3151;3716;3548;3210;3492;;;;;;;;;;;;;;;;;;;;
842500P;Oberembrach, Politische Gemeinde;Steuerertrag [Fr./Einw.];1305;1330;1377;1271;1243;1248;1138;1240;1202;1199;1240;1198;1085;1029;1082;959;877;918;928;856;752;700;629;621;669;614;584;498;507;486
810200PS;Oberengstringen, Politische Gemeinde;Steuerertrag [Fr./Einw.];3288;2830;3009;3194;2825;2726;2692;2696;2872;2920;2930;2785;2747;;;;;;;;;;;;;;;;;
815400PP;Oberglatt, Politische Gemeinde;Steuerertrag [Fr./Einw.];1848;1896;1884;2235;1993;1615;;;;;;;;;;;;;;;;;;;;;;;;
894200PS;Oberrieden, Politische Gemeinde;Steuerertrag [Fr./Einw.];4676;4360;4693;4086;3539;5790;5124;4698;6633;6388;;;;;;;;;;;;;;;;;;;;
816501P;Oberweningen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1014;1138;1160;1110;1055;956;1031;1206;1220;1092;1757;1182;1045;897;786;926;836;787;1211;822;701;552;548;564;588;486;515;570;637;671
891200PP;Obfelden, Politische Gemeinde;Steuerertrag [Fr./Einw.];2085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
895500P;Oetwil a.d.L., Politische Gemeinde;Steuerertrag [Fr./Einw.];1612;1487;1531;1442;1584;1443;1414;1540;1542;1558;1170;1406;1645;1290;1494;1245;1391;1504;1402;1197;1402;1115;1087;1271;996;981;844;865;840;744
861800PS;Oetwil am See, Politische Gemeinde;Steuerertrag [Fr./Einw.];2877;2734;2698;2719;2696;2907;2972;2724;2741;2610;2839;2549;2451;2238;2373;2391;2242;;;;;;;;;;;;;
815200PS;Opfikon, Stadt;Steuerertrag [Fr./Einw.];4477;4235;4529;4588;4839;3511;3916;4078;3836;4158;3973;4514;5168;4162;6039;4463;3753;5022;4304;5038;4003;4171;3858;3549;3353;2987;3097;2507;2643;2349
847500P;Ossingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];943;869;940;1065;864;553;456;266;913;845;882;784;756;752;842;693;756;783;740;765;753;643;699;760;665;660;515;438;463;527
811200PP;Otelfingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];2599;2731;2459;2355;2716;2660;2639;2744;2735;3208;2359;2752;2832;2286;2366;2412;2740;2402;2073;2189;2195;1984;1820;2040;1880;;;;;
