BFS_2017,Gemeinde_2017,GSB17_Teilnahme,FDP,CVP,CSP,SVP,SP,BDP,EVP,EDU,GLP,Grüne,Lega,parteilos,verschiedene,m,w
177,Pfäffikon,1,2,1,0,2,0,0,2,0,0,0,0,1,0,6,2
178,Russikon,1,2,0,0,3,0,0,0,0,0,0,0,0,2,5,2
180,Weisslingen,1,0,0,0,3,0,0,1,0,0,0,0,0,1,4,1
181,Wila,1,0,0,0,3,1,1,0,0,0,0,0,3,0,8,0
182,Wildberg,1,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0
191,Dübendorf,1,1,1,0,2,0,1,0,0,2,0,0,0,0,6,1
192,Egg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Fällanden,1,3,0,0,1,0,0,0,0,1,0,0,2,0,5,2
194,Greifensee,1,2,1,0,0,1,0,0,0,0,0,0,0,3,5,2
195,Maur,1,2,1,0,3,1,0,0,0,0,0,0,1,0,6,2
196,Mönchaltorf,1,4,0,0,1,2,0,0,0,0,0,0,1,0,4,4
197,Schwerzenbach,1,3,1,0,0,0,0,0,0,0,0,0,3,0,5,2
198,Uster,1,2,0,0,3,3,0,0,0,0,0,0,0,0,5,3
199,Volketswil,1,2,1,0,4,0,0,0,0,0,0,0,1,0,6,2
200,Wangen-Brüttisellen,1,2,0,0,3,0,0,0,0,0,0,0,0,2,6,1
211,Altikon,1,0,0,0,3,0,0,0,0,0,0,0,3,0,4,2
213,Brütten,1,4,0,0,1,0,0,0,0,0,0,0,2,0,6,1
214,Dägerlen,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
215,Dättlikon,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
216,Dinhard,1,0,0,0,2,0,0,0,0,0,0,0,3,0,5,0
217,Elgg,1,1,0,0,2,1,0,0,0,0,0,0,1,3,5,3
218,Ellikon an der Thur,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
219,Elsau,1,4,0,0,3,0,0,0,0,0,0,0,1,0,7,1
220,Hagenbuch,1,0,0,0,3,1,0,0,0,0,0,0,2,0,5,1
221,Hettlingen,1,5,0,0,1,0,0,0,0,0,0,0,0,1,5,2
222,Hofstetten (ZH),1,0,0,0,0,0,0,0,0,0,0,0,6,0,5,1
223,Neftenbach,1,3,0,0,3,0,0,0,0,0,0,0,0,2,7,1
224,Pfungen,1,0,0,0,3,0,0,0,0,0,0,0,0,4,6,1
225,Rickenbach (ZH),1,1,0,0,3,0,0,0,0,0,0,0,2,0,4,2
226,Schlatt (ZH),1,0,0,0,0,0,0,0,0,0,0,0,6,0,5,1
227,Seuzach,1,4,0,0,3,0,0,1,0,0,0,0,0,0,6,2
228,Turbenthal,1,3,0,0,1,0,0,0,0,0,0,0,3,1,8,0
230,Winterthur,1,2,1,0,1,2,0,0,0,0,1,0,0,0,5,2
231,Zell (ZH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Aesch (ZH),1,1,0,0,2,0,0,0,0,0,0,0,1,2,6,0
242,Birmensdorf (ZH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Dietikon,1,2,1,0,3,1,0,1,0,0,0,0,0,0,7,1
244,Geroldswil,1,2,0,0,3,0,0,0,0,0,0,0,3,0,8,0
245,Oberengstringen,1,1,2,0,2,0,0,0,0,0,0,0,2,0,6,1
246,Oetwil an der Limmat,1,2,1,0,2,0,0,0,0,0,0,0,0,0,4,1
247,Schlieren,1,2,1,0,2,2,0,0,0,0,0,0,0,0,3,4
248,Uitikon,1,2,1,0,2,0,0,0,0,0,0,0,0,2,5,2
249,Unterengstringen,1,4,0,0,3,0,0,0,0,0,0,0,0,0,5,2
250,Urdorf,1,2,1,0,1,1,0,2,0,0,0,0,1,0,6,2
251,Weiningen (ZH),1,3,0,0,3,0,0,0,0,0,0,0,1,1,8,0
261,Zürich,1,2,1,0,0,4,0,0,0,0,1,0,0,1,7,2
296,Illnau-Effretikon,1,2,0,0,3,4,0,0,0,0,0,0,0,0,7,2
297,Bauma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Wiesendangen,1,1,1,0,1,0,0,1,0,0,0,0,3,0,5,2
