"Gemeindenamen","BFS-Nr.","Listen-Nr.","Liste","Wahlkreis-Nr.","Wahlkreis","Stimmen","Stimmenanteil","+/- (Stimmenanteil)","Stimmenzusatz","Wähler","Wähleranteil","+/- (Wähleranteil)","Stimmenanteil 2015","Wähleranteil 2015"
"Andelfingen","30","2","SP","16","Wahlkreis XVI, Andelfingen","394","13.99","1.8","4","99","13.99","1.8","12.19","12.19"
"Andelfingen","30","3","FDP","16","Wahlkreis XVI, Andelfingen","476","16.9","-4.45","7","119","16.9","-4.45","21.36","21.36"
"Andelfingen","30","4","GLP","16","Wahlkreis XVI, Andelfingen","353","12.54","4.48","1","88","12.54","4.48","8.05","8.05"
"Andelfingen","30","5","Grüne","16","Wahlkreis XVI, Andelfingen","276","9.8","-0.21","4","69","9.8","-0.21","10.01","10.01"
"Andelfingen","30","6","CVP","16","Wahlkreis XVI, Andelfingen","37","1.31","0.2","0","9","1.31","0.2","1.11","1.11"
"Andelfingen","30","7","EVP","16","Wahlkreis XVI, Andelfingen","248","8.81","2.67","4","62","8.81","2.67","6.13","6.13"
"Andelfingen","30","8","AL","16","Wahlkreis XVI, Andelfingen","16","0.57","-0.24","0","4","0.57","-0.24","0.81","0.81"
"Andelfingen","30","9","BDP","16","Wahlkreis XVI, Andelfingen","135","4.79","-0.46","3","34","4.79","-0.46","5.25","5.25"
"Andelfingen","30","10","EDU","16","Wahlkreis XVI, Andelfingen","80","2.84","0.04","1","20","2.84","0.04","2.8","2.8"
"Bachenbülach","51","1","SVP","17","Wahlkreis XVII, Bülach","3231","24.42","-7.81","26","180","24.42","-7.81","32.23","32.23"
"Bachenbülach","51","2","SP","17","Wahlkreis XVII, Bülach","1720","13","-0.32","19","96","13","-0.32","13.32","13.32"
"Bachenbülach","51","3","FDP","17","Wahlkreis XVII, Bülach","3844","29.06","-1.16","431","214","29.06","-1.16","30.22","30.22"
"Bachenbülach","51","4","GLP","17","Wahlkreis XVII, Bülach","1272","9.61","5.83","12","71","9.61","5.83","3.78","3.78"
"Bachenbülach","51","5","Grüne","17","Wahlkreis XVII, Bülach","1067","8.07","4.7","22","59","8.07","4.7","3.36","3.36"
"Bachenbülach","51","6","CVP","17","Wahlkreis XVII, Bülach","331","2.5","-0.76","0","18","2.5","-0.76","3.27","3.27"
"Bachenbülach","51","7","EVP","17","Wahlkreis XVII, Bülach","908","6.86","0.96","9","50","6.86","0.96","5.9","5.9"
"Bachenbülach","51","8","AL","17","Wahlkreis XVII, Bülach","110","0.83","0.01","0","6","0.83","0.01","0.82","0.82"
"Bachenbülach","51","9","BDP","17","Wahlkreis XVII, Bülach","247","1.87","-0.72","7","14","1.87","-0.72","2.58","2.58"
"Bachenbülach","51","10","EDU","17","Wahlkreis XVII, Bülach","500","3.78","-0.45","19","28","3.78","-0.45","4.23","4.23"
"Bachs","81","1","SVP","18","Wahlkreis XVIII, Dielsdorf","938","47.64","-7.81","11","85","47.64","-7.81","55.44","55.44"
"Bachs","81","2","SP","18","Wahlkreis XVIII, Dielsdorf","111","5.64","-3.08","0","10","5.64","-3.08","8.72","8.72"
"Bachs","81","3","FDP","18","Wahlkreis XVIII, Dielsdorf","177","8.99","2.17","4","16","8.99","2.17","6.82","6.82"
"Bachs","81","4","GLP","18","Wahlkreis XVIII, Dielsdorf","110","5.59","3.63","0","10","5.59","3.63","1.96","1.96"
"Bachs","81","5","Grüne","18","Wahlkreis XVIII, Dielsdorf","393","19.96","8.54","5","36","19.96","8.54","11.42","11.42"
"Bachs","81","6","CVP","18","Wahlkreis XVIII, Dielsdorf","17","0.86","0.76","0","2","0.86","0.76","0.11","0.11"
"Bachs","81","7","EVP","18","Wahlkreis XVIII, Dielsdorf","9","0.46","0.4","0","1","0.46","0.4","0.05","0.05"
"Bachs","81","8","AL","18","Wahlkreis XVIII, Dielsdorf","5","0.25","0.15","0","0","0.25","0.15","0.11","0.11"
"Bachs","81","9","BDP","18","Wahlkreis XVIII, Dielsdorf","9","0.46","0.14","0","1","0.46","0.14","0.32","0.32"
"Bachs","81","10","EDU","18","Wahlkreis XVIII, Dielsdorf","200","10.16","-4.8","0","18","10.16","-4.8","14.96","14.96"
"Bassersdorf","52","1","SVP","17","Wahlkreis XVII, Bülach","9648","26.65","-6.59","299","536","26.65","-6.59","33.24","33.24"
"Bassersdorf","52","2","SP","17","Wahlkreis XVII, Bülach","6068","16.76","-2.87","59","337","16.76","-2.87","19.63","19.63"
"Bassersdorf","52","3","FDP","17","Wahlkreis XVII, Bülach","6923","19.13","-0.41","706","385","19.13","-0.41","19.54","19.54"
"Bassersdorf","52","4","GLP","17","Wahlkreis XVII, Bülach","4636","12.81","7.43","52","258","12.81","7.43","5.37","5.37"
"Bassersdorf","52","5","Grüne","17","Wahlkreis XVII, Bülach","2430","6.71","2.49","40","135","6.71","2.49","4.22","4.22"
"Bassersdorf","52","6","CVP","17","Wahlkreis XVII, Bülach","1132","3.13","-0.84","8","63","3.13","-0.84","3.96","3.96"
"Bassersdorf","52","7","EVP","17","Wahlkreis XVII, Bülach","2463","6.8","3.43","6","137","6.8","3.43","3.38","3.38"
"Bassersdorf","52","8","AL","17","Wahlkreis XVII, Bülach","509","1.41","0.75","9","28","1.41","0.75","0.66","0.66"
"Bassersdorf","52","9","BDP","17","Wahlkreis XVII, Bülach","720","1.99","-1.89","29","40","1.99","-1.89","3.88","3.88"
"Bassersdorf","52","10","EDU","17","Wahlkreis XVII, Bülach","1669","4.61","-0.79","16","93","4.61","-0.79","5.4","5.4"
"Bauma","297","1","SVP","13","Wahlkreis XIII, Pfäffikon","3068","37.88","-5","125","438","37.88","-5","42.88","42.88"
"Bauma","297","2","SP","13","Wahlkreis XIII, Pfäffikon","770","9.51","-5.12","0","110","9.51","-5.12","14.63","14.63"
"Bauma","297","3","FDP","13","Wahlkreis XIII, Pfäffikon","432","5.33","-0.45","6","62","5.33","-0.45","5.78","5.78"
"Bauma","297","4","GLP","13","Wahlkreis XIII, Pfäffikon","617","7.62","3.88","1","88","7.62","3.88","3.74","3.74"
"Bauma","297","5","Grüne","13","Wahlkreis XIII, Pfäffikon","622","7.68","2.88","2","89","7.68","2.88","4.8","4.8"
"Bauma","297","6","CVP","13","Wahlkreis XIII, Pfäffikon","131","1.62","-0.28","0","19","1.62","-0.28","1.9","1.9"
"Bauma","297","7","EVP","13","Wahlkreis XIII, Pfäffikon","1508","18.62","2.2","45","215","18.62","2.2","16.41","16.41"
"Bauma","297","8","AL","13","Wahlkreis XIII, Pfäffikon","105","1.3","0.3","0","15","1.3","0.3","1","1"
"Bauma","297","9","BDP","13","Wahlkreis XIII, Pfäffikon","51","0.63","-0.58","0","7","0.63","-0.58","1.21","1.21"
"Bauma","297","10","EDU","13","Wahlkreis XIII, Pfäffikon","795","9.82","2.71","7","114","9.82","2.71","7.11","7.11"
"Benken","22","1","SVP","16","Wahlkreis XVI, Andelfingen","332","39.15","-3.77","6","83","39.15","-3.77","42.92","42.92"
"Benken","22","2","SP","16","Wahlkreis XVI, Andelfingen","97","11.44","-1.18","0","24","11.44","-1.18","12.62","12.62"
