GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
844200PP;Hettlingen, Politische Gemeinde;BFS-Nr. / SGEM;221;221;221;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;
834000P;Hinwil, Politische Gemeinde;BFS-Nr. / SGEM;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117
833500P;Hittnau, Politische Gemeinde;BFS-Nr. / SGEM;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173
818200P;Hochfelden, Politische Gemeinde;BFS-Nr. / SGEM;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59
863400PS;Hombrechtikon, Politische Gemeinde;BFS-Nr. / SGEM;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;;;;;;;;;;;;;;;;;;;;
881001PS;Horgen, Politische Gemeinde;BFS-Nr. / SGEM;295;295;295;295;295;295;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818100P;Höri, Politische Gemeinde;BFS-Nr. / SGEM;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60
845700P;Humlikon, Politische Gemeinde;BFS-Nr. / SGEM;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
819400P;Hüntwangen, Politische Gemeinde;BFS-Nr. / SGEM;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61
811500P;Hüttikon, Politische Gemeinde;BFS-Nr. / SGEM;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87
830801PS;Illnau-Effretikon, Stadt;BFS-Nr. / SGEM;296;296;296;296;296;296;296;296;296;;;;;;;;;;;;;;;;;;;;;;;;;;
892600PP;Kappel a.A., Politische Gemeinde;BFS-Nr. / SGEM;6;6;6;6;6;6;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;
880200PS;Kilchberg, Politische Gemeinde;BFS-Nr. / SGEM;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135
845100P;Kleinandelfingen, Politische Gemeinde;BFS-Nr. / SGEM;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
830200PS;Kloten, Stadt;BFS-Nr. / SGEM;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62
893400PP;Knonau, Politische Gemeinde;BFS-Nr. / SGEM;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;
870000PS;Küsnacht, Politische Gemeinde;BFS-Nr. / SGEM;154;154;154;154;154;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
813500PS;Langnau a.A., Politische Gemeinde;BFS-Nr. / SGEM;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136
824800P;Laufen-Uhwiesen, Politische Gemeinde;BFS-Nr. / SGEM;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34
831500PS;Lindau, Politische Gemeinde;BFS-Nr. / SGEM;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;;;;;;;;;;;;;;;;
842600PP;Lufingen, Politische Gemeinde;BFS-Nr. / SGEM;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
870800PS;Männedorf, Politische Gemeinde;BFS-Nr. / SGEM;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;;;;;;;;;;;;;;;;;
846000P;Marthalen, Politische Gemeinde;BFS-Nr. / SGEM;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
893300P;Maschwanden, Politische Gemeinde;BFS-Nr. / SGEM;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
812400PS;Maur, Politische Gemeinde;BFS-Nr. / SGEM;195;195;195;195;195;195;195;195;195;195;195;195;195;195;195;;;;;;;;;;;;;;;;;;;;
870600PS;Meilen, Politische Gemeinde;BFS-Nr. / SGEM;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;;;;;;;;;;;;;;;;;;;;
893200PP;Mettmenstetten, Politische Gemeinde;BFS-Nr. / SGEM;9;9;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
861700PS;Mönchaltorf, Politische Gemeinde;BFS-Nr. / SGEM;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;;;;;;;;;;;;
817300P;Neerach, Politische Gemeinde;BFS-Nr. / SGEM;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88
841300PS;Neftenbach, Politische Gemeinde;BFS-Nr. / SGEM;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;;;;;;;;;;;;;
817200P;Niederglatt, Politische Gemeinde;BFS-Nr. / SGEM;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89
